node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp, join_col
0, 'us-west1-b', 0, 0, 'FKA.pem', -1, 0, 0,
1, 'us-west1-b', 0, 0, 'FKA.pem', -1, 1, 0,
2, 'us-west1-b', 0, 0, 'FKA.pem', -1, 2, 0,
3, 'us-west1-b', 0, 0, 'FKA.pem', -1, 3, 0,

4, 'us-west1-b', 0, 1, 'FKA.pem', -1, 4, 0,
5, 'us-west1-b', 0, 1, 'FKA.pem', -1, 5, 0,
6, 'us-west1-b', 0, 1, 'FKA.pem', -1, 6, 0,
7, 'us-west1-b', 0, 1, 'FKA.pem', -1, 7, 0,

8, 'us-west1-b', 0, 0, 'FKA.pem', -1, 8, 1,
9, 'us-west1-b', 0, 0, 'FKA.pem', -1, 9, 1,
10, 'us-west1-b', 0, 0, 'FKA.pem', -1, 10, 1,

11, 'us-west1-b', 1, -1, 'FKA.pem', 0, -1,-1,
12, 'us-west1-b', 1, -1, 'FKA.pem', 1, -1,-1,

