node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'ap-south-1', 0, 0, 'FKA.pem', -1, 0,
1, 'ap-south-1', 0, 0, 'FKA.pem', -1, 1,
2, 'ap-south-1', 0, 0, 'FKA.pem', -1, 2,
3, 'ap-south-1', 0, 0, 'FKA.pem', -1, 3,
4, 'ap-south-1', 0, 0, 'FKA.pem', -1, 4,
5, 'ap-south-1', 0, 0, 'FKA.pem', -1, 5,
6, 'ap-south-1', 0, 0, 'FKA.pem', -1, 6,
7, 'ap-south-1', 0, 0, 'FKA.pem', -1, 7,
8, 'ap-south-1', 0, 0, 'FKA.pem', -1, 8,
9, 'ap-south-1', 0, 0, 'FKA.pem', -1, 9,
10, 'ap-south-1', 0, 0, 'FKA.pem', -1, 10,
11, 'ap-south-1', 0, 0, 'FKA.pem', -1, 11,
12, 'ap-south-1', 0, 1, 'FKA.pem', -1, 12,
13, 'ap-south-1', 0, 1, 'FKA.pem', -1, 13,
14, 'ap-south-1', 0, 1, 'FKA.pem', -1, 14,
15, 'ap-south-1', 0, 1, 'FKA.pem', -1, 15,
16, 'ap-south-1', 0, 1, 'FKA.pem', -1, 16,
17, 'ap-south-1', 0, 1, 'FKA.pem', -1, 17,
18, 'ap-south-1', 0, 1, 'FKA.pem', -1, 18,
19, 'ap-south-1', 0, 1, 'FKA.pem', -1, 19,
20, 'ap-south-1', 0, 1, 'FKA.pem', -1, 20,
21, 'ap-south-1', 0, 1, 'FKA.pem', -1, 21,
22, 'ap-south-1', 0, 1, 'FKA.pem', -1, 22,
23, 'ap-south-1', 0, 1, 'FKA.pem', -1, 23,
24, 'ap-south-1', 0, 1, 'FKA.pem', -1, 24,
25, 'ap-south-1', 0, 1, 'FKA.pem', -1, 25,
26, 'ap-south-1', 0, 1, 'FKA.pem', -1, 26,
27, 'ap-south-1', 1, -1, 'FKA.pem', 0, -1,
28, 'ap-south-1', 1, -1, 'FKA.pem', 1, -1,
29, 'eu-central-1', 0, 2, 'FKE.pem', -1, 27,
30, 'eu-central-1', 0, 2, 'FKE.pem', -1, 28,
31, 'eu-central-1', 0, 2, 'FKE.pem', -1, 29,
32, 'eu-central-1', 0, 2, 'FKE.pem', -1, 30,
33, 'eu-central-1', 0, 2, 'FKE.pem', -1, 31,
34, 'eu-central-1', 0, 2, 'FKE.pem', -1, 32,
35, 'eu-central-1', 0, 2, 'FKE.pem', -1, 33,
36, 'eu-central-1', 0, 2, 'FKE.pem', -1, 34,
37, 'eu-central-1', 0, 2, 'FKE.pem', -1, 35,
38, 'eu-central-1', 0, 2, 'FKE.pem', -1, 36,
39, 'eu-central-1', 0, 2, 'FKE.pem', -1, 37,
40, 'eu-central-1', 0, 2, 'FKE.pem', -1, 38,
41, 'eu-central-1', 0, 2, 'FKE.pem', -1, 39,
42, 'eu-central-1', 0, 2, 'FKE.pem', -1, 40,
43, 'eu-central-1', 0, 2, 'FKE.pem', -1, 41,
44, 'eu-central-1', 1, -1, 'FKE.pem', 2, -1,


